city_state,id_num,population,crime_rate,rental_rate,walk_score
"Milford, California",446,237.0,46.36,2477.6,44.5
"Millbrae, California",447,23375.0,46.36,2477.6,52.0
"Mill Valley, California",448,14624.0,14.2,2477.6,44.5
"Millville, California",449,653.0,46.36,2477.6,44.5
"Milpitas, California",450,81971.0,25.3,2477.6,52.0
"Mineral, California",451,378.0,46.36,2477.6,44.5
"Minkler, California",452,1184.0,46.36,2477.6,44.5
"Mira Loma, California",453,28703.0,46.36,2477.6,28.0
"Mira Monte, California",454,6393.0,46.36,2477.6,44.5
"Miranda, California",455,862.0,46.36,2477.6,44.5
"Mission Canyon, California",456,2949.0,46.36,2477.6,44.5
"Mission Hills, California",457,3952.0,46.36,2477.6,44.5
"Mission Viejo, California",458,97605.0,10.9,2477.6,35.0
"Mi-Wuk Village, California",459,1176.0,46.36,2477.6,44.5
"Modesto, California",460,215221.0,44.6,2477.6,45.0
"Mohawk Vista, California",461,55.0,46.36,2477.6,44.5
"Mojave, California",462,4301.0,46.36,2477.6,44.5
"Mokelumne Hill, California",463,605.0,46.36,2477.6,44.5
"Monmouth, California",464,154.0,46.36,2477.6,44.5
"Mono City, California",465,71.0,46.36,2477.6,44.5
"Mono Vista, California",466,3457.0,46.36,2477.6,44.5
"Monrovia, California",467,37202.0,26.5,2477.6,61.0
"Monson, California",468,438.0,46.36,2477.6,44.5
"Montague, California",469,1456.0,27.1,2477.6,44.5
"Montalvin Manor, California",470,3144.0,46.36,2477.6,44.5
"Montara, California",471,2653.0,46.36,2477.6,44.5
"Montclair, California",472,39736.0,47.5,2477.6,55.0
"Montebello, California",473,63517.0,29.4,2477.6,65.0
