YEAR,City_State,POPULATION
2021,"Pajaro Dunes, California",276.0
2021,"Palermo, California",6044.0
2021,"Palmdale, California",161308.0
2021,"Palm Desert, California",53473.0
2021,"Palm Springs, California",48479.0
2021,"Palo Alto, California",68669.0
2021,"Palo Cedro, California",1280.0
2021,"Palos Verdes Estates, California",13584.0
2021,"Palo Verde, California",71.0
2021,"Panorama Heights, California",35.0
2021,"Paradise, California",12305.0
2021,"Paradise Park, California",583.0
2021,"Paramount, California",55110.0
2021,"Parklawn, California",1282.0
2021,"Parksdale, California",2651.0
2021,"Parkway, California",16674.0
2021,"Parkwood, California",2186.0
2021,"Parlier, California",15633.0
2021,"Pasadena, California",143155.0
2021,"Pasatiempo, California",1019.0
2021,"Paskenta, California",102.0
2021,"Patterson, California",22756.0
2021,"Patterson Tract, California",2388.0
2021,"Patton Village, California",615.0
2021,"Paxton, California",0.0
2021,"Paynes Creek, California",66.0
2021,"Pearsonville, California",29.0
2021,"Pedley, California",4579.0
2021,"Penngrove, California",2959.0
2021,"Penn Valley, California",1726.0
2021,"Penryn, California",976.0
2021,"Perris, California",80922.0
2021,"Pescadero, California",447.0
2021,"Petaluma, California",62000.0
2021,"Peters, California",478.0
2021,"Phelan, California",16126.0
2021,"Phillipsville, California",53.0
2021,"Philo, California",193.0
2021,"Phoenix Lake, California",4545.0
2021,"Pico Rivera, California",63689.0
2021,"Piedmont, California",11607.0
2021,"Pierpoint, California",13.0
2021,"Pike, California",119.0
2021,"Pine Canyon, California",2165.0
2021,"Pine Flat, California",160.0
2021,"Pine Grove, California",1504.0
2021,"Pine Hills, California",3543.0
2021,"Pine Mountain Club, California",1843.0
2021,"Pine Mountain Lake, California",2513.0
2021,"Pine Valley, California",2063.0
2021,"Pinole, California",19552.0
2021,"Pi?on Hills, California",8158.0
2021,"Pioneer, California",1478.0
2021,"Piru, California",2077.0
2021,"Pismo Beach, California",8237.0
2021,"Pittsburg, California",73686.0
2021,"Pixley, California",4084.0
2021,"Placentia, California",53170.0
2021,"Placerville, California",10966.0
2021,"Plainview, California",855.0
2021,"Planada, California",4444.0
2021,"Pleasant Hill, California",35519.0
2021,"Pleasanton, California",85138.0
2021,"Plumas Eureka, California",396.0
2021,"Plumas Lake, California",7941.0
2021,"Plymouth, California",909.0
2021,"Point Arena, California",415.0
2021,"Point Reyes Station, California",169.0
2021,"Pollock Pines, California",7061.0
2021,"Pomona, California",153904.0
2021,"Ponderosa, California",-3.0
2021,"Poplar-Cotton Center, California",2787.0
2021,"Port Costa, California",184.0
2021,"Porterville, California",61775.0
2021,"Port Hueneme, California",22412.0
2021,"Portola, California",1526.0
2021,"Portola Valley, California",4714.0
2021,"Posey, California",2.0
2021,"Poso Park, California",6.0
2021,"Potrero, California",357.0
2021,"Potter Valley, California",249.0
2021,"Poway, California",50810.0
2021,"Prattville, California",22.0
2021,"Princeton, California",343.0
2021,"Proberta, California",175.0
2021,"Prunedale, California",20481.0
2021,"Quartz Hill, California",9923.0
2021,"Quincy, California",2030.0
2021,"Rackerby, California",144.0
2021,"Rail Road Flat, California",203.0
2021,"Rainbow, California",2119.0
2021,"Raisin City, California",376.0
2021,"Ramona, California",21251.0
2021,"Rancho Calaveras, California",7044.0
2021,"Rancho Cordova, California",75210.0
2021,"Rancho Cucamonga, California",181384.0
2021,"Rancho Mirage, California",18609.0
2021,"Rancho Murieta, California",5259.0
2021,"Rancho Palos Verdes, California",42638.0
2021,"Rancho San Diego, California",22114.0
2021,"Rancho Santa Fe, California",2409.0
2021,"Rancho Santa Margarita, California",49405.0
2021,"Rancho Tehama Reserve, California",2326.0
2021,"Randsburg, California",164.0
2021,"Red Bluff, California",14224.0
2021,"Red Corral, California",1895.0
2021,"Redcrest, California",20.0
2021,"Redding, California",92264.0
2021,"Redlands, California",71833.0
2021,"Redondo Beach, California",68375.0
2021,"Redway, California",1416.0
2021,"Redwood City, California",88864.0
2021,"Redwood Valley, California",1869.0
2021,"Reedley, California",26238.0
2021,"Reliez Valley, California",3900.0
2021,"Rialto, California",104413.0
2021,"Richfield, California",272.0
2021,"Richgrove, California",2697.0
2021,"Richmond, California",112256.0
2021,"Richvale, California",128.0
2021,"Ridgecrest, California",29304.0
2021,"Ridgemark, California",2738.0
2021,"Rio Dell, California",3400.0
2021,"Rio del Mar, California",9800.0
2021,"Rio Linda, California",16011.0
2021,"Rio Oso, California",445.0
2021,"Rio Vista, California",9261.0
2021,"Ripley, California",368.0
2021,"Ripon, California",16047.0
2021,"Riverbank, California",25198.0
2021,"Riverdale, California",3940.0
2021,"Riverdale Park, California",1082.0
2021,"River Pines, California",487.0
2021,"Riverside, California",333020.0
2021,"Robbins, California",320.0
2021,"Robinson Mill, California",-25.0
2021,"Rocklin, California",66425.0
2021,"Rodeo, California",10857.0
2021,"Rodriguez Camp, California",49.0
2021,"Rohnert Park, California",43380.0
2021,"Rolling Hills, California",1157.0
2021,"Rolling Hills Estates, California",8279.0
2021,"Rollingwood, California",3474.0
2021,"Romoland, California",2450.0
2021,"Rosamond, California",21512.0
2021,"Rosedale, California",17804.0
2021,"Rose Hills, California",2755.0
2021,"Roseland, California",4960.0
2021,"Rosemead, California",54832.0
2021,"Rosemont, California",23862.0
2021,"Roseville, California",140311.0
2021,"Ross, California",2451.0
2021,"Rossmoor, California",11350.0
2021,"Rough and Ready, California",826.0
2021,"Round Mountain, California",100.0
2021,"Round Valley, California",579.0
2021,"Rouse, California",2318.0
2021,"Rowland Heights, California",50200.0
2021,"Rubidoux, California",43994.0
2021,"Running Springs, California",3984.0
2021,"Ruth, California",184.0
2021,"Rutherford, California",67.0
2021,"Sacramento, California",508328.0
2021,"St. Helena, California",6169.0
2021,"Salida, California",14007.0
2021,"Salinas, California",160411.0
2021,"Salmon Creek, California",5.0
2021,"Salton City, California",7517.0
2021,"Salton Sea Beach, California",358.0
2021,"Samoa, California",194.0
2021,"San Andreas, California",3210.0
2021,"San Anselmo, California",12740.0
2021,"San Antonio Heights, California",2665.0
2021,"San Ardo, California",612.0
2021,"San Bernardino, California",218136.0
2021,"San Bruno, California",44242.0
2021,"San Buenaventura (Ventura), California",112003.0
2021,"San Carlos, California",30925.0
2021,"San Clemente, California",66817.0
2021,"Sand City, California",354.0
2021,"San Diego, California",1446048.0
2021,"San Diego Country Estates, California",10479.0
2021,"San Dimas, California",34470.0
2021,"San Fernando, California",24958.0
2021,"San Francisco, California",899932.0
2021,"San Gabriel, California",40487.0
2021,"Sanger, California",25587.0
2021,"San Geronimo, California",460.0
2021,"San Jacinto, California",49823.0
2021,"San Joaquin, California",4056.0
2021,"San Jose, California",1065381.0
2021,"San Juan Bautista, California",2470.0
2021,"San Juan Capistrano, California",36743.0
2021,"San Leandro, California",92870.0
2021,"San Lorenzo, California",25992.0
2021,"San Lucas, California",559.0
2021,"San Luis Obispo, California",48012.0
2021,"San Marcos, California",100788.0
2021,"San Marino, California",13359.0
2021,"San Martin, California",7038.0
2021,"San Mateo, California",107535.0
2021,"San Miguel (Contra Costa County), California",3165.0
2021,"San Miguel (San Luis Obispo County), California",2809.0
2021,"San Pablo, California",31343.0
2021,"San Pasqual, California",1911.0
2021,"San Rafael, California",59812.0
2021,"San Ramon, California",78687.0
2021,"San Simeon, California",514.0
2021,"Santa Ana, California",337596.0
2021,"Santa Barbara, California",92807.0
2021,"Santa Clara, California",131262.0
2021,"Santa Clarita, California",218492.0
2021,"Santa Cruz, California",66636.0
2021,"Santa Fe Springs, California",18310.0
2021,"Santa Margarita, California",1192.0
2021,"Santa Maria, California",109608.0
2021,"Santa Monica, California",93600.0
2021,"Santa Nella, California",2542.0
2021,"Santa Paula, California",30747.0
2021,"Santa Rosa, California",183887.0
2021,"Santa Rosa Valley, California",3349.0
2021,"Santa Susana, California",910.0
